file,line,value,context_snippet
.zenodo.json,11,0009-0001-8671-8878,"""orcid"": ""0009-0001-8671-8878"","
.zenodo.json,16,0009-0005-6883-1809,"""orcid"": ""0009-0005-6883-1809"","
CITATION.cff,8,0009-0001-8671-8878,"orcid: ""https://orcid.org/0009-0001-8671-8878"""
CITATION.cff,12,0009-0005-6883-1809,"orcid: ""https://orcid.org/0009-0005-6883-1809"""
paper/darwin-education-paper.md,4,0009-0001-8671-8878,- Demetrios Chiuratto Agourakis¹* (ORCID: 0009-0001-8671-8878)
paper/darwin-education-paper.md,5,0009-0005-6883-1809,- Isadora Casagrande Amalcaburio² (ORCID: 0009-0005-6883-1809)
darwin-MFC/.zenodo.json,5,0009-0001-8671-8878,"""orcid"": ""0009-0001-8671-8878"","
darwin-MFC/ZENODO_UPLOAD_GUIDE.md,39,0009-0001-8671-8878,- **ORCID**: `0009-0001-8671-8878`
darwin-MFC/ZENODO_UPLOAD_GUIDE.md,192,0009-0001-8671-8878,- ORCID: https://orcid.org/0009-0001-8671-8878
darwin-MFC/CITATION.cff,14,0009-0001-8671-8878,orcid: https://orcid.org/0009-0001-8671-8878
darwin-MFC/CITATION.cff,75,0009-0001-8671-8878,orcid: https://orcid.org/0009-0001-8671-8878
darwin-MFC/README.md,140,0009-0001-8671-8878,- **ORCID**: [0009-0001-8671-8878](https://orcid.org/0009-0001-8671-8878)
darwin-MFC/README.md,140,0009-0001-8671-8878,- **ORCID**: [0009-0001-8671-8878](https://orcid.org/0009-0001-8671-8878)
darwin-MFC/README.md,151,0009-0001-8671-8878,- **ORCID Profile**: [View profile](https://orcid.org/0009-0001-8671-8878)
_paperpack/preprint/cover_JMIR_MedEd.md,28,0009-0001-8671-8878,Demetrios Chiuratto Agourakis (ORCID: https://orcid.org/0009-0001-8671-8878)
_paperpack/preprint/cover_JMIR_MedEd.md,29,0009-0005-6883-1809,Isadora Casagrande Amalcaburio (ORCID: https://orcid.org/0009-0005-6883-1809)
_paperpack/preprint/cover_CE_AI.md,28,0009-0001-8671-8878,Demetrios Chiuratto Agourakis (ORCID: https://orcid.org/0009-0001-8671-8878)
_paperpack/preprint/cover_CE_AI.md,29,0009-0005-6883-1809,Isadora Casagrande Amalcaburio (ORCID: https://orcid.org/0009-0005-6883-1809)
_paperpack/preprint/preprint.md,3,0009-0001-8671-8878,**Authors:** Demetrios Chiuratto Agourakis (ORCID: https://orcid.org/0009-0001-8671-8878); Isadora Casagrande Amalcaburio (ORCID: https://orcid.org/0009-0005-6883-1809)
_paperpack/preprint/preprint.md,3,0009-0005-6883-1809,**Authors:** Demetrios Chiuratto Agourakis (ORCID: https://orcid.org/0009-0001-8671-8878); Isadora Casagrande Amalcaburio (ORCID: https://orcid.org/0009-0005-6883-1809)
_paperpack/derived/zenodo_record_18592149.json,1,0009-0001-8671-8878,"{""created"": ""2026-02-10T09:24:42.830168+00:00"", ""modified"": ""2026-02-10T09:24:43.026455+00:00"", ""id"": 18592149, ""conceptrecid"": ""18487441"", ""doi"": ""10.5281/zenodo.18592149"", ""co..."
_paperpack/derived/zenodo_record_18487441.json,1,0009-0001-8671-8878,"{""created"": ""2026-02-10T09:24:42.830168+00:00"", ""modified"": ""2026-02-10T09:24:43.026455+00:00"", ""id"": 18592149, ""conceptrecid"": ""18487441"", ""doi"": ""10.5281/zenodo.18592149"", ""co..."
_paperpack/derived/orcid_0009-0001-8671-8878.json,1,0009-0001-8671-8878,"{""last-modified-date"":{""value"":1761694897868},""name"":{""created-date"":{""value"":1721618697115},""last-modified-date"":{""value"":1761694897662},""given-names"":{""value"":""Demetrios""},""fa..."
_paperpack/derived/orcid_0009-0001-8671-8878.json,1,0009-0001-8671-8878,"{""last-modified-date"":{""value"":1761694897868},""name"":{""created-date"":{""value"":1721618697115},""last-modified-date"":{""value"":1761694897662},""given-names"":{""value"":""Demetrios""},""fa..."
_paperpack/derived/orcid_0009-0001-8671-8878.json,1,0009-0001-8671-8878,"{""last-modified-date"":{""value"":1761694897868},""name"":{""created-date"":{""value"":1721618697115},""last-modified-date"":{""value"":1761694897662},""given-names"":{""value"":""Demetrios""},""fa..."
_paperpack/derived/orcid_0009-0001-8671-8878.json,1,0009-0001-8671-8878,"{""last-modified-date"":{""value"":1761694897868},""name"":{""created-date"":{""value"":1721618697115},""last-modified-date"":{""value"":1761694897662},""given-names"":{""value"":""Demetrios""},""fa..."
_paperpack/derived/orcid_0009-0001-8671-8878.json,1,0009-0001-8671-8878,"{""last-modified-date"":{""value"":1761694897868},""name"":{""created-date"":{""value"":1721618697115},""last-modified-date"":{""value"":1761694897662},""given-names"":{""value"":""Demetrios""},""fa..."
_paperpack/derived/orcid_0009-0001-8671-8878.json,1,0009-0001-8671-8878,"{""last-modified-date"":{""value"":1761694897868},""name"":{""created-date"":{""value"":1721618697115},""last-modified-date"":{""value"":1761694897662},""given-names"":{""value"":""Demetrios""},""fa..."
_paperpack/derived/orcid_0009-0001-8671-8878.json,1,0009-0001-8671-8878,"{""last-modified-date"":{""value"":1761694897868},""name"":{""created-date"":{""value"":1721618697115},""last-modified-date"":{""value"":1761694897662},""given-names"":{""value"":""Demetrios""},""fa..."
_paperpack/derived/orcid_0009-0001-8671-8878.json,1,0009-0001-8671-8878,"{""last-modified-date"":{""value"":1761694897868},""name"":{""created-date"":{""value"":1721618697115},""last-modified-date"":{""value"":1761694897662},""given-names"":{""value"":""Demetrios""},""fa..."
