keyword,file,line_start,line_end,snippet
ENAMED,AGENTS.md,44,44,When claims reference public ENAMED provenance/governance:
ENAMED,AGENTS.md,47,47,- Microdados ENAMED portal (19/01/2026)
microdata,AGENTS.md,50,50,- INEP microdata governance/LGPD page
verification,AGENTS.md,65,65,# Pack verification only
safety,AGENTS.md,85,85,- Safety claims with explicit numbers must be code-anchored; otherwise rewrite generically.
ENAMED,AI_INTEGRATION_SUMMARY.md,34,34,- buildQuestionGenerationMessages() - ENAMED-style MCQs with IRT
IRT,AI_INTEGRATION_SUMMARY.md,34,34,- buildQuestionGenerationMessages() - ENAMED-style MCQs with IRT
IRT,AI_INTEGRATION_SUMMARY.md,78,78,- Output: Full question JSON with IRT parameters
safety,AI_INTEGRATION_SUMMARY.md,136,136,**Type Safety:**
IRT,AI_INTEGRATION_SUMMARY.md,173,173,- Add IRT parameter estimation
ENAMED,CHANGELOG.md,15,15,- ✅ ENAMED exam simulator with TRI/IRT scoring
IRT,CHANGELOG.md,15,15,- ✅ ENAMED exam simulator with TRI/IRT scoring
SM-2,CHANGELOG.md,16,16,- ✅ Flashcards with SM-2 spaced repetition algorithm
Grok,CHANGELOG.md,22,22,- ✅ Question generation via Grok 4.1-fast ($0.06/question)
guideline,CHANGELOG.md,30,30,"- ✅ Multi-source research pipeline (Darwin-MFC, guidelines, PubMed, UpToDate)"
hallucination,CHANGELOG.md,33,33,- ✅ Hallucination detection with citation verification
verification,CHANGELOG.md,33,33,- ✅ Hallucination detection with citation verification
auto-approval,CHANGELOG.md,36,36,- ✅ 70-80% auto-approval rate for high-quality content
DDL,CHANGELOG.md,38,38,**Learning Gap Detection (DDL):**
guideline,CHANGELOG.md,63,63,- ✅ Contributing guidelines
IRT,CHANGELOG.md,68,68,- ✅ Question bank with IRT parameters (100+ questions)
SM-2,CHANGELOG.md,70,70,- ✅ Flashcard SM-2 state tracking
DDL,CHANGELOG.md,73,73,- ✅ DDL assessments and results
Grok,CHANGELOG.md,138,138,- xAI for Grok API access
ENAMED,CIP_BETA_READY.md,12,12,"- **Coverage**: All ENAMED areas (Clínica Médica, Cirurgia, Pediatria, GO, Saúde Coletiva)"
ENAMED,CIP_BETA_READY.md,245,245,- Specialty-specific leaderboards (per ENAMED area)
ENAMED,CIP_BETA_READY.md,336,336,- **Evidence-based**: TRI scoring like real ENAMED
ENAMED,CIP_BETA_READY.md,346,346,*Built with ❤️ for medical students preparing for ENAMED*
ENAMED,CIP_COMPLETE_FEATURES.md,10,10,- 10 additional diagnoses covering all ENAMED areas
ENAMED,CIP_ENHANCEMENTS_COMPLETE.md,27,27,- **15 diagnoses** across all ENAMED areas:
ENAMED,CIP_ENHANCEMENT_PLAN.md,309,309,areas: ENAMEDArea[]
ENAMED,CITATION.cff,27,27,"abstract: ""Medical exam preparation platform for ENAMED (Exame Nacional de Avaliação da Formação Médica) and other medical licensing exams. Features include exam simulator with TRI (Item Response Theory) scoring, flashcards with SM-2 spaced repetition, AI-powered study paths, and progress analytics."""
SM-2,CITATION.cff,27,27,"abstract: ""Medical exam preparation platform for ENAMED (Exame Nacional de Avaliação da Formação Médica) and other medical licensing exams. Features include exam simulator with TRI (Item Response Theory) scoring, flashcards with SM-2 spaced repetition, AI-powered study paths, and progress analytics."""
ENAMED,CITATION.cff,31,31,- ENAMED
ENAMED,CLAUDE.md,31,31,- `ENAMEDQuestion`: Exam question with IRT parameters
IRT,CLAUDE.md,31,31,- `ENAMEDQuestion`: Exam question with IRT parameters
